"label","name","super_class","is_extendable","sys_updated_on"
"Adaptive Authentication Event","adaptive_auth_event","","false","2024-05-16 12:07:26"
"Agent Assist Recommendation","agent_assist_recommendation","Application File","false","2024-05-16 12:08:36"
"MID Server File","agent_file","","false","2024-05-16 11:55:46"
"Record Producer Configuration","aisa_rp_config","Application File","false","2024-05-16 12:11:35"
"Search Actions","aisa_ui_action","Application File","false","2024-05-16 12:11:35"
"AI Search ACL Overrides","ais_acl_overrides","Application File","false","2024-05-16 11:41:53"
"AI Search Active Table Ingestion Tracker","ais_active_table_ingestion_tracker","","false","2024-05-16 11:41:50"
"AI Search Async Genius Result","ais_async_genius_result","","false","2025-01-23 23:08:45"
"AI Search Async Request","ais_async_request","","false","2025-01-23 23:08:46"
"AI Search Child Table","ais_child_table","Application File","false","2024-05-16 11:41:51"
"AI Search Configuration Attribute","ais_configuration_attribute","","false","2024-05-16 11:41:50"
"AI Search Connection","ais_connection","","false","2024-05-16 11:41:52"
"AI Search Country To Search Language","ais_country_to_search_language","Application File","false","2024-05-16 11:41:53"
"Custom Matcher","ais_custom_matcher","Application File","false","2024-05-16 11:41:53"
"AI Search Indexed Source","ais_datasource","Application File","false","2024-05-16 11:41:52"
"AI Search Indexed Source Attribute","ais_datasource_attribute","Application File","false","2024-05-16 11:41:51"
"AI Search Indexed Source Field Attribute","ais_datasource_field_attribute","Application File","false","2024-05-16 11:41:52"
"AI Search Indexed Source Statistics","ais_datasource_stats","","false","2024-05-16 11:41:53"
"AI Search Dictionary","ais_dictionary","Application File","false","2024-05-16 11:41:51"
"AI Search Dictionary Term","ais_dictionary_term","Application File","false","2024-05-16 11:41:52"
"AI Search Genius Result Configuration","ais_genius_result_configuration","Application File","false","2024-05-16 11:41:51"
"AI Search Genius Result Configuration Parameters","ais_genius_result_configuration_parameters","","false","2025-01-23 23:08:44"
"AI Search Genius Result Configuration NLU Model Mapping","ais_genius_result_configuration_sys_nlu_model_m2m","Application File","false","2024-05-16 11:41:51"
"Guard Rail Limit for Indexed Data Sources","ais_guard_rail_limit_data_source","","false","2025-01-23 23:08:43"
"AI Search Helpfulness Score Stats","ais_helpfulness_score_stats","","false","2025-01-23 23:08:45"
"AI Search Index Events stats","ais_index_queue_stats","","false","2024-05-16 11:41:50"
"AI Search Ingestion Trigger Checkin","ais_ingestion_trigger_checkin","","false","2024-05-16 11:41:51"
"AI Search Indexed Batch History","ais_ingest_batch_stats","","false","2024-05-16 11:41:52"
"AI Search Indexed Source History","ais_ingest_datasource_stats","","false","2024-05-16 11:41:52"
"AI Search Indexed Event History","ais_ingest_event_stats","","false","2024-05-16 11:41:51"
"AI Search Indexed Retry History","ais_ingest_retry_stats","","false","2024-05-16 11:41:52"
"AI Search Indexed Table History","ais_ingest_table_stats","","false","2024-05-16 11:41:50"
"AI Search Long Query Log","ais_long_query_log","","false","2024-05-16 11:41:51"
"AI Search NLQ Navigation","ais_nlq_navigation","","false","2024-05-16 11:41:51"
"AI Search Partition Health","ais_partition_health","","false","2024-05-16 11:41:53"
"AI Search Partition Health Response","ais_partition_health_response","","false","2024-05-16 11:41:53"
"AI Search Publish History","ais_publish_history","","false","2024-05-16 11:41:53"
"AI Search Query Statistics","ais_query_statistics","","false","2025-01-23 23:08:44"
"AI Search Relevancy Auto Train Solution","ais_relevancy_autotrain_solution","ML Auto Train Solution","false","2024-05-16 11:41:53"
"AI Search Relevancy Solution Definition","ais_relevancy_solution_definition","Solution Definition","false","2024-05-16 11:41:53"
"AI Search Relevancy Training Execution","ais_relevancy_training_execution","","false","2024-05-16 11:41:53"
"AI Search Relevancy Training Staging","ais_relevancy_training_staging","","false","2024-05-16 11:41:52"
"AI Search Retention Policy","ais_retention_policy","","false","2024-05-16 11:41:53"
"AI Search Results Improvement Rule","ais_rule","Application File","false","2024-05-16 11:41:52"
"AI Search Results Improvement Rule Action","ais_rule_action","Application File","false","2024-05-16 11:41:53"
"Mirrored Result Improvement Rule","ais_rule_mirror_m2m","Application File","false","2024-05-16 11:41:50"
"AI Search Search Profile","ais_search_profile","Application File","false","2024-05-16 11:41:51"
"AI Search Search Profile Dictionary Mapping","ais_search_profile_ais_dictionary_m2m","Application File","false","2024-05-16 11:41:53"
"AI Search Search Profile Genius Result Configuration Mapping","ais_search_profile_ais_genius_result_configuration_m2m","Application File","false","2024-05-16 11:41:51"
"AI Search Search Profile Search Source Mapping","ais_search_profile_ais_search_source_m2m","Application File","false","2024-05-16 11:41:51"
"AI Search Search Profile Relevancy Model","ais_search_profile_relevancy_model","","false","2024-05-16 11:41:51"
"AI Search Search Source","ais_search_source","Application File","false","2024-05-16 11:41:52"
"AI Search Updatable Field Event","ais_updatable_field_event","","false","2024-05-16 11:41:51"
"Asset","alm_asset","","true","2024-05-16 11:51:40"
"Asset CI Field Mapping","alm_asset_ci_field_mapping","Application File","false","2024-05-16 11:51:39"
"Asset CI Install Status Mapping","alm_asset_ci_state_mapping","Application File","false","2024-05-16 11:51:41"
"Asset Creation Queue","alm_asset_creation_queue","","false","2024-05-16 11:51:41"
"Consumable","alm_consumable","Asset","false","2024-05-16 11:51:41"
"Custom Template Task","alm_custom_template_task","Template Task","false","2024-05-16 11:51:40"
"License Entitlement","alm_entitlement","","true","2015-07-30 13:55:49"
"Device Entitlement","alm_entitlement_asset","License Entitlement","false","2015-07-30 13:59:23"
"User Entitlement","alm_entitlement_user","License Entitlement","false","2015-07-30 13:58:44"
"Facility","alm_facility","Asset","false","2024-05-16 11:51:40"
"Fixed Assets","alm_fixed_assets","","false","2024-05-16 11:51:36"
"Hardware","alm_hardware","Asset","false","2024-05-16 11:51:41"
"Asset CI Hardware State Mapping","alm_hardware_state_mapping","Application File","false","2024-05-16 11:51:39"
"Software License","alm_license","Asset","false","2024-05-16 11:51:41"
"Stockroom Model","alm_m2m_stockroom_model","","false","2024-05-16 11:51:40"
"Stockroom","alm_stockroom","","false","2024-05-16 11:51:41"
"Stockroom Type","alm_stockroom_type","","false","2024-05-16 11:51:39"
"Stock Rule","alm_stock_rule","","false","2024-05-16 11:51:39"
"Template Subtask","alm_template_subtask","","false","2024-05-16 11:51:40"
"Template Task","alm_template_task","","true","2024-05-16 11:51:37"
"Transfer Order","alm_transfer_order","","false","2024-05-16 11:51:39"
"Transfer Order Line","alm_transfer_order_line","","false","2024-05-16 11:51:37"
"Transfer Order Line Subtask","alm_transfer_order_line_subtask","Task","false","2024-05-16 11:51:38"
"Transfer Order Line Task","alm_transfer_order_line_task","Task","false","2024-05-16 11:51:41"
"Default Stockroom","alm_user_stockroom","","false","2024-05-16 11:51:40"
"Analytics Task","analytics_task","","true","2024-05-16 12:02:09"
"Announcement","announcement","Application File","false","2024-05-16 11:59:04"
"Announcement Consumer Type","announcement_consumer_type","Application File","false","2024-05-16 11:59:03"
"Announcement Style","announcement_style","Application File","false","2024-05-16 11:59:04"
"Antivirus Activity","antivirus_activity","","false","2024-05-16 12:03:38"
"API Key","api_key","Auth Credential","false","2024-05-16 12:07:36"
"API Key Credentials","api_key_credentials","Credentials","false","2024-05-16 11:56:20"
"Application Diagnostic","application_diagnostic","","false","2024-05-16 11:54:30"
"Archive Audit Result","ar_cert_audit_result","","false","2024-05-16 13:02:59"
"Archive Knowledge Use","ar_kb_use","","false","2024-05-16 13:02:54"
"Assessable Record","asmt_assessable_record","","false","2015-04-13 14:36:48"
